item_id,cue_category,perturbation_type,original_sentence,perturbed_sentence,grammar_valid,meaning_preserved,gold_preserved,keep_for_analysis,validator_notes
198,structural,structural,"Craig gifted Eric a new picnic table, because _ borrowed some money a while ago.","Because _ borrowed some money a while ago, Craig gifted Eric a new picnic table.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
199,structural,structural,"Craig gifted Eric a new picnic table, because _ lent him some money a while ago.","Because _ lent him some money a while ago, Craig gifted Eric a new picnic table.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
202,structural,structural,"Robert took voice lessons from Randy, because _ was known to be on American Idol.","Because _ was known to be on American Idol, Robert took voice lessons from Randy.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
203,structural,structural,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a flat stomach.,"Because _ had a flat stomach, Whilst on the beach Cynthia loved to wear a bikini but Laura did not.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
204,structural,structural,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a fat stomach.,"Because _ had a fat stomach, Whilst on the beach Cynthia loved to wear a bikini but Laura did not.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
208,structural,structural,The shoe james bought got pinched by a nail while jogging because the _ is soft.,"Because the _ is soft, The shoe james bought got pinched by a nail while jogging.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
209,structural,structural,Lawrence liked watching foreign movies with subtitles unlike Jason because _ criticized the original language of the film.,"Because _ criticized the original language of the film, Lawrence liked watching foreign movies with subtitles unlike Jason.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
210,structural,structural,Lawrence liked watching foreign movies with subtitles unlike Jason because _ appreciated the original language of the film.,"Because _ appreciated the original language of the film, Lawrence liked watching foreign movies with subtitles unlike Jason.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
211,structural,structural,The fishing line snagged and broke on a rock because the _ was too heavy.,"Because the _ was too heavy, The fishing line snagged and broke on a rock.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
212,structural,structural,Johnny likes fruits more than vegetables in his new keto diet because the _ are saccharine.,"Because the _ are saccharine, Johnny likes fruits more than vegetables in his new keto diet.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
213,structural,structural,"Victoria was still grieving the death of a friend more than Elena, because _ had a more distant relationship with the friend.","Because _ had a more distant relationship with the friend, Victoria was still grieving the death of a friend more than Elena.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
214,structural,structural,"Victoria was still grieving the death of a friend more than Elena, because _ had a very close relationship with the friend.","Because _ had a very close relationship with the friend, Victoria was still grieving the death of a friend more than Elena.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
217,lexical,adjective_polarity,The courage of Ian was a lot stronger than Michael because _ had been through a lot in life.,The courage of Ian was a lot weaker than Michael because _ had been through a lot in life.,no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
217,structural,structural,The courage of Ian was a lot stronger than Michael because _ had been through a lot in life.,"Because _ had been through a lot in life, The courage of Ian was a lot stronger than Michael.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
218,structural,structural,The chef fried less mushrooms than tomatoes because the _ were ordered frequently at the restaurant.,"Because the _ were ordered frequently at the restaurant, The chef fried less mushrooms than tomatoes.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
219,structural,structural,"Lawrence dealt the cards to Joseph at the blackjack table, because _ was a professional player.","Because _ was a professional player, Lawrence dealt the cards to Joseph at the blackjack table.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
220,lexical,adjective_polarity,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be older.","You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be younger.",no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
220,structural,structural,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be older.","Because it will be older, You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
221,structural,structural,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste better because it will be fresh.","Because it will be fresh, You can grow cilantro in a garden or buy it at the store, but the _ variety will taste better.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
223,structural,structural,It seemed more likely that Brett would wear a fedora rather than Justin because _ was known to dress stylishly.,"Because _ was known to dress stylishly, It seemed more likely that Brett would wear a fedora rather than Justin.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
224,structural,structural,It seemed more likely that Brett would wear a fedora rather than Justin because _ did not often dress stylishly.,"Because _ did not often dress stylishly, It seemed more likely that Brett would wear a fedora rather than Justin.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
225,structural,structural,William did not mind if it took them a while to prepare a meal but Adam did because _ was very meticulous.,"Because _ was very meticulous, William did not mind if it took them a while to prepare a meal but Adam did.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
228,structural,structural,The computer of Victoria ran faster than that of Carrie because _ downloaded less files.,"Because _ downloaded less files, The computer of Victoria ran faster than that of Carrie.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
229,structural,structural,The computer of Victoria ran slower than that of Carrie because _ downloaded less files.,"Because _ downloaded less files, The computer of Victoria ran slower than that of Carrie.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
230,structural,structural,My face was more familiar than it was at the bar than the gym because I went to the _ very rarely.,"Because I went to the _ very rarely, My face was more familiar than it was at the bar than the gym.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
231,structural,structural,My face was more familiar than it was at the bar than the gym because I went to the _ several times a week.,"Because I went to the _ several times a week, My face was more familiar than it was at the bar than the gym.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
233,structural,structural,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was flexible.,"Because _ was flexible, Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
234,structural,structural,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was inflexible.,"Because _ was inflexible, Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
236,structural,structural,Natalie took a longer time to take a bath than Jennifer because _ liked relaxing in the tub.,"Because _ liked relaxing in the tub, Natalie took a longer time to take a bath than Jennifer.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
240,structural,structural,It is likely that Donald but not Jason would get the job promotion because _ never stayed late and never did extra work.,"Because _ never stayed late and never did extra work, It is likely that Donald but not Jason would get the job promotion.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
