item_id,sentence,option1,option2,gold,has_dataset_pair,paired_item_id,pair_type_guess,safe_for_manual_perturbation,notes
237,Natalie took a longer time to take a bath than Jennifer because _ liked relaxing in the tub.,Natalie,Jennifer,1,no,,,,
238,Emily said that Victoria's hijab was silly and old fashioned. _ heard some very offensive things.,Emily,Victoria,2,yes,239,lexical/attribute_flip,,
239,Emily said that Victoria's hijab was silly and old fashioned. _ said some very offensive things.,Emily,Victoria,1,yes,238,lexical/attribute_flip,,
240,"Mary was more reliable and hardworking than Rachel, but to be fair, _ had a better foundation as a child.",Mary,Rachel,1,no,,,,
241,It is likely that Donald but not Jason would get the job promotion because _ never stayed late and never did extra work.,Donald,Jason,2,no,,,,
242,A background check was performed on Natalie by Lindsey due to _ being a nanny.,Natalie,Lindsey,1,no,,,,
243,We reached a settlement with the company but were roadblocked by the court.  The _ was just more inflexible in its dealings.,company,court,2,no,,,,
244,The man paid cash for the phone but purchased the tablet with credit because the _ was pricy.,Phone,Tablet,2,yes,245,lexical/attribute_flip,,
245,The man paid cash for the phone but purchased the tablet with credit because the _ was inexpensive.,Phone,Tablet,1,yes,244,lexical/attribute_flip,,
246,"There are lots of pills in the home of Neil, but none in the house of Logan, so _ must be healthy.",Neil,Logan,2,no,,,,
247,Carrie asked Betty where the children were on the playground because _ could not see them.,Carrie,Betty,1,no,,,,
248,"the region was too crowded for our comfortable stay for all the people sent there , the _ were too small..",region,people,1,no,,,,
249,Samantha had to get car insurance and Jessica did not because _ just got a new car.,Samantha,Jessica,1,no,,,,
250,The stain was lighter on Jason's shirt than Donald's because _ spilled red wine and not white wine.,Jason,Donald,2,yes,251,lexical/attribute_flip,,
251,The stain was darker on Jason's shirt than Donald's because _ spilled red wine and not white wine.,Jason,Donald,1,yes,250,lexical/attribute_flip,,
252,Emily decided to eat a lot more yucca than Carrie did. _ was still hungry.,Emily,Carrie,2,yes,253,lexical/attribute_flip,,
253,Emily decided to eat a lot more yucca than Carrie did. _ was no longer hungry.,Emily,Carrie,1,yes,252,lexical/attribute_flip,,
254,Ian needed to adjust the mirror and Craig did not because _ was shorter than the owner of the car.,Ian,Craig,1,yes,255,lexical/attribute_flip,,
255,Ian needed to adjust the mirror and Craig did not because _ was the same height as the owner of the car.,Ian,Craig,2,yes,254,lexical/attribute_flip,,
256,The commodities trader decided to buy wool and sell cotton because the _ was priced low.,wool,cotton,1,yes,257,lexical/attribute_flip,,
257,The commodities trader decided to buy wool and sell cotton because the _ was priced high.,wool,cotton,2,yes,256,lexical/attribute_flip,,
258,I was told my eyes are failing so I need to get glasses or contacts. I don't think I'll get the contacts since the _ seem less comfortable.,glasses,contacts,2,no,,,,
259,"It is an article of faith that the paper is more important than the exam , even though the _ weighs less heavily on the grade.",paper,exam,1,no,,,,
260,The teenager got a job at the supermarket instead of at the diner because he had to work during school at the _ .,supermarket,diner,2,no,,,,
261,The tip of James pencil was breaking while writing on the paper sheet. The _ is weak.,pencil,paper,1,no,,,,
262,"William lived in a rougher part of town than Eric, so _ trained their dog as a guard dog.",William,Eric,1,no,,,,
263,The woman moved the urn in front of the vase on the shelf because the _ was attractive.,urn,vase,1,no,,,,
264,Jennifer returned the pan to Sarah because _ had borrowed it from her for the potluck party.,Jennifer,Sarah,1,yes,265,lexical/attribute_flip,,
265,Jennifer returned the pan to Sarah because _ had loaned it to her for the potluck party.,Jennifer,Sarah,2,yes,264,lexical/attribute_flip,,
266,The doctor told Kevin to exercise more often but not Neil. _ had always been lazy and unmotivated.,Kevin,Neil,1,yes,267,lexical/attribute_flip,,
267,The doctor told Kevin to exercise more often but not Neil. _ had always been active and self-motivated.,Kevin,Neil,2,yes,266,lexical/attribute_flip,,
268,I always wonder how people prefer reading in a library instead of at the house because the lack of people at the _ would make it easier to concentrate.,library,house,2,yes,269,lexical/attribute_flip,,
269,I always wonder how people prefer reading in a library instead of at the house because the amount of people at the _ would make it hard to concentrate.,library,house,1,yes,268,lexical/attribute_flip,,
270,"The blood sample on the slide was more helpful than the one in the vial, because the _ had been kept pristine.",slide,vial,1,no,,,,
271,Ryan had to use a calculator on the test but Michael didn't because _ was very bad at math.,Ryan,Michael,1,no,,,,
272,"The air in the shop was better than in the garage, because the _ was highly purified.",garage,shop,2,no,,,,
273,"He went to put his pocket watch into his pocket, but realized the chain had broke.  Without it, the _ doesn't function correctly.",pocket watch,chain,1,no,,,,
274,"Jason was easily scared, so he watched sci-fi movies instead of horror movies because the _ were not scary.",sci-fi movies,horror movies,1,no,,,,
275,"Christine accepted the over night challenge from Laura, because _ had a better chance of winning.",Christine,Laura,1,no,,,,
276,"The woman kept the bikini but returned the top, because the _ was the right size.",bikini,top,1,yes,277,lexical/attribute_flip,,
277,"The woman kept the bikini but returned the top, because the _ was the wrong size.",bikini,top,2,yes,276,lexical/attribute_flip,,
278,"Victoria taught Elena how to count in Malay for their trip, because _ was a visitor of the island.",Victoria,Elena,2,no,,,,
279,"Angela beat Mary in the weightlifting competition, but it wasn't fair. _ had been taking steroids.",Angela,Mary,1,no,,,,
280,Betty assisted Kayla with the daily analysis task they were assigned and then _ ask for help herself.,Betty,Kayla,1,no,,,,
281,The store sold Michael a fake phone but not Eric so _ could still make a call.,Michael,Eric,2,no,,,,
282,The juice from the mango fruit could not fill up the cup because the _ is small.,mango,cup,1,no,,,,
283,Jeri was deciding what to bring to a potluck and picked cookies over a pie because the _ could be shared with fewer people.,cookies,pie,2,no,,,,
284,"Brian asked  Nick to feed their rabbit,because  _ was planning on going on vacation to Disney for a week.",Brian,Nick,1,no,,,,
285,James listened carefully to the conversation from the other room but all he could hear was the clock tickling. The _ is pretty loud.,clock,conversation,1,no,,,,
286,"The dog that Laura found was dirtier than Amy's dog, since _ dog lived in the street.",Laura,Amy,1,no,,,,
287,The ambulance went to the hospital without Nelson inside but with Ryan because _ drove there in a car.,Nelson,Ryan,1,no,,,,
288,Craig was a very selfish individual but Kenneth was very generous. _ had a lot of good friends.,Craig,Kenneth,2,no,,,,
289,It took a less time for Katrina to read the book than Cynthia since _ was a better reader.,Katrina,Cynthia,1,no,,,,
290,Bobby had to use his pen to finish the exam rather than the pencil because the _ was full of ink.,pen,pencil,1,no,,,,
291,It was easy for Matthew but not Logan to practice yoga because _ wanted to improve their mind and body.,Matthew,Logan,1,no,,,,
292,"Patricia was called back for a second interview but not Victoria, as _ had passed the background check.",Patricia,Victoria,1,yes,293,lexical/attribute_flip,,
293,"Patricia was called back for a second interview but not Victoria, as _ had failed the background check.",Patricia,Victoria,2,yes,292,lexical/attribute_flip,,
294,Harold liked to play with dolls more than cars because the _ talked back to him.,dolls,cars,1,no,,,,
295,There was more dirt on the car than the bike because the _ was kept inside.,bike,car,1,yes,296,lexical/attribute_flip,,
296,There was more dirt on the car than the bike because the _ was kept outside.,bike,car,2,yes,295,lexical/attribute_flip,,
297,"Michael was a very calm person with yoga but Jeffrey was hyper so, _ decided to take a yoga class.",Michael,Jeffrey,2,no,,,,
298,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very bad cook.,Patricia,Carrie,1,yes,299,lexical/attribute_flip,,
299,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very good cook.,Patricia,Carrie,2,yes,298,lexical/attribute_flip,,
300,"Eric went to Leslie's house to play with the new dog, but there was no answer. _ was at the park.",Eric,Leslie,2,no,,,,
